LAT;;;;;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258
LON;;;;;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232
ASL;;;;;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000
CITY;;;;;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town
DOMAIN;;;;;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Total Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction
UNIT;;;;;°C;%;hPa;mm;%;min;W/m2;km/h;°
AGGREGATION;;;;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Cloud Cover  [sfc];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;05;01;17;00;21.80;58.00;1014.50;0.00;6.00;0.00;262.55;9.36;202.62
2019;05;01;18;00;20.79;63.00;1014.50;0.00;7.20;56.17;102.35;6.52;186.34
2019;05;01;19;00;19.63;71.00;1014.30;0.00;6.90;6.84;0.00;5.09;171.87
2019;05;01;20;00;18.64;78.00;1014.10;0.00;5.40;0.00;0.00;3.10;144.46
2019;05;01;21;00;17.81;83.00;1014.10;0.00;4.80;0.00;0.00;1.44;90.00
2019;05;01;22;00;17.18;87.00;1013.90;0.00;0.00;0.00;0.00;1.44;360.00
2019;05;01;23;00;16.65;91.00;1013.80;0.00;0.00;0.00;0.00;3.89;326.31
2019;05;02;00;00;15.83;96.00;1014.00;0.00;2.00;0.00;0.00;5.69;325.30
2019;05;02;01;00;15.71;95.00;1014.00;0.00;59.00;0.00;0.00;6.92;332.10
2019;05;02;02;00;15.31;95.00;1013.50;0.00;100.00;0.00;0.00;8.77;340.82
2019;05;02;03;00;15.22;95.00;1013.40;0.00;100.00;0.00;0.00;11.18;345.07
2019;05;02;04;00;15.01;94.00;1013.40;0.00;100.00;0.00;0.00;13.28;347.47
2019;05;02;05;00;14.57;94.00;1013.00;0.00;100.00;0.00;0.00;14.76;347.32
2019;05;02;06;00;14.06;94.00;1013.10;0.00;100.00;0.00;0.00;15.98;345.65
2019;05;02;07;00;13.80;94.00;1013.50;0.00;100.00;0.00;0.00;18.25;345.14
2019;05;02;08;00;13.73;94.00;1013.60;0.00;100.00;0.00;13.35;20.35;346.70
2019;05;02;09;00;13.88;93.00;1014.10;0.00;100.00;0.00;107.69;22.81;348.16
2019;05;02;10;00;14.57;89.00;1014.20;0.00;100.00;0.00;205.59;26.98;341.32
2019;05;02;11;00;15.49;85.00;1014.10;0.00;100.00;0.00;316.84;31.39;333.43
2019;05;02;12;00;16.42;81.00;1014.10;0.00;100.00;0.00;441.44;33.59;329.04
2019;05;02;13;00;17.28;74.00;1013.50;0.00;2.00;0.00;618.55;36.64;326.62
